(44.563358306884766, 2.9999999999999973)
(38.94416284561158, 44.56335830688476)
(-25.26554870605468, 38.94416284561158)
(0.9596996307372985, -25.26554870605468)
(47.75146055221557, 0.9596996307373071)
(37.61860799789429, 47.75146055221556)
(-23.172955989837632, 37.61860799789429)
(-0.5650777816772447, -23.172955989837632)
(47.364621639251695, -0.5650777816772361)
(40.33298444747924, 47.36462163925169)
(-21.357205390930154, 40.33298444747924)
(-3.3625216484069735, -21.357205390930154)
(46.355119228363016, -3.3625216484069647)
(42.93729496002196, 46.35511922836301)
(-23.506312847137423, 42.93729496002196)
(-4.416563034057601, -23.506312847137423)
(51.92137050628659, -4.416563034057592)
(44.066030502319315, 51.921370506286586)
(-21.390910625457728, 44.06603050231932)
(-22.77239751815794, -21.390910625457725)
(58.90012550354001, -22.77239751815793)
(30.48083972930906, 58.90012550354)
(-33.75781345367428, 30.48083972930906)
(-3.3099193572997847, -33.75781345367429)
(48.183889865875216, -3.309919357299776)
(56.818150997161844, 48.18388986587521)
(-29.966731548309287, 56.818150997161844)
(-35.11954021453855, -29.966731548309287)
(64.58898353576657, -35.119540214538546)
(35.39648485183713, 64.58898353576657)
(-63.345649719238246, 35.39648485183714)
(-9.206704616546611, -63.345649719238246)
(65.93186426162717, -9.206704616546599)
(9.453496456146214, 65.93186426162717)
(-65.62983083724973, 9.453496456146217)
(-9.106835842132549, -65.62983083724973)
(118.5508995056152, -9.106835842132528)
(11.905090332031216, 118.5508995056152)
(-114.90478801727292, 11.905090332031223)
(-7.901155471801738, -114.90478801727292)
(118.29628753662107, -7.901155471801717)
(12.16764402389523, 118.29628753662107)
(-117.70850229263303, 12.167644023895237)
